timestamp,service,cloud,region,asn,cloud_status,network_status,latency,failure
2026-03-31 23:21:50.959962,auth,Azure,us-east-1,AS15169,degraded,down,423,1
2026-03-31 23:21:51.959962,auth,Azure,us-east-1,AS8075,down,stable,389,1
2026-03-31 23:21:52.959962,payments,Azure,us-west-2,AS15169,down,stable,163,1
2026-03-31 23:21:53.959962,payments,AWS,us-central1,AS8075,operational,stable,104,0
2026-03-31 23:21:54.959962,media,GCP,us-east-1,AS8075,degraded,unstable,85,0
2026-03-31 23:21:55.959962,search,Azure,eastus,AS8075,degraded,stable,238,0
2026-03-31 23:21:56.959962,analytics,GCP,us-east-1,AS16509,down,down,258,1
2026-03-31 23:21:57.959962,payments,Azure,us-east-1,AS15169,degraded,unstable,202,0
2026-03-31 23:21:58.959962,search,Azure,us-east-1,AS8075,degraded,unstable,66,0
2026-03-31 23:21:59.959962,media,GCP,us-east-1,AS16509,degraded,stable,411,1
2026-03-31 23:22:00.959962,payments,Azure,us-west-2,AS8075,degraded,stable,167,0
2026-03-31 23:22:01.959962,auth,Azure,us-east-1,AS8075,operational,unstable,244,0
2026-03-31 23:22:02.959962,orders,AWS,us-west-2,AS16509,degraded,stable,72,0
2026-03-31 23:22:03.959962,auth,GCP,us-east-1,AS15169,operational,unstable,393,0
2026-03-31 23:22:04.959962,payments,GCP,eastus,AS15169,degraded,stable,223,0
2026-03-31 23:22:05.959962,analytics,GCP,us-central1,AS8075,degraded,stable,251,0
2026-03-31 23:22:06.959962,search,Azure,eastus,AS15169,operational,unstable,168,0
2026-03-31 23:22:07.959962,auth,AWS,eastus,AS15169,operational,unstable,354,0
2026-03-31 23:22:08.959962,payments,GCP,eastus,AS16509,degraded,unstable,468,1
2026-03-31 23:22:09.959962,payments,AWS,us-central1,AS8075,down,stable,402,1
2026-03-31 23:22:10.959962,auth,GCP,us-central1,AS8075,down,stable,313,1
2026-03-31 23:22:11.959962,media,GCP,eastus,AS16509,down,unstable,320,1
2026-03-31 23:22:12.959962,auth,GCP,us-west-2,AS8075,operational,stable,498,1
2026-03-31 23:22:13.959962,search,GCP,us-central1,AS16509,operational,stable,317,0
2026-03-31 23:22:14.959962,analytics,AWS,us-central1,AS8075,operational,unstable,187,0
2026-03-31 23:22:15.959962,orders,AWS,us-east-1,AS16509,degraded,stable,328,0
2026-03-31 23:22:16.959962,payments,GCP,us-central1,AS16509,down,stable,55,1
2026-03-31 23:22:17.959962,payments,Azure,us-east-1,AS15169,down,unstable,206,1
2026-03-31 23:22:18.959962,search,AWS,us-central1,AS8075,operational,unstable,311,0
2026-03-31 23:22:19.959962,payments,GCP,us-west-2,AS8075,degraded,unstable,481,1
2026-03-31 23:22:20.959962,payments,Azure,us-central1,AS15169,operational,unstable,75,0
2026-03-31 23:22:21.959962,media,AWS,eastus,AS16509,operational,stable,317,0
2026-03-31 23:22:22.959962,payments,Azure,us-central1,AS15169,degraded,stable,392,0
2026-03-31 23:22:23.959962,orders,GCP,us-west-2,AS16509,down,stable,322,1
2026-03-31 23:22:24.959962,auth,Azure,us-east-1,AS15169,down,down,348,1
2026-03-31 23:22:25.959962,payments,AWS,us-east-1,AS15169,degraded,stable,213,0
2026-03-31 23:22:26.959962,orders,GCP,eastus,AS15169,operational,stable,329,0
2026-03-31 23:22:27.959962,payments,AWS,us-east-1,AS8075,operational,unstable,179,0
2026-03-31 23:22:28.959962,media,AWS,eastus,AS8075,degraded,stable,100,0
2026-03-31 23:22:29.959962,orders,Azure,us-east-1,AS16509,down,unstable,490,1
2026-03-31 23:22:30.959962,analytics,GCP,us-central1,AS16509,down,stable,141,1
2026-03-31 23:22:31.959962,auth,GCP,us-west-2,AS15169,degraded,stable,56,0
2026-03-31 23:22:32.959962,auth,GCP,eastus,AS16509,down,down,80,1
2026-03-31 23:22:33.959962,media,Azure,us-central1,AS16509,degraded,stable,466,1
2026-03-31 23:22:34.959962,analytics,AWS,eastus,AS8075,degraded,down,89,1
2026-03-31 23:22:35.959962,orders,AWS,us-central1,AS15169,degraded,unstable,437,1
2026-03-31 23:22:36.959962,analytics,Azure,us-central1,AS15169,degraded,stable,171,0
2026-03-31 23:22:37.959962,analytics,AWS,eastus,AS8075,operational,stable,113,0
2026-03-31 23:22:38.959962,auth,Azure,eastus,AS15169,down,unstable,450,1
2026-03-31 23:22:39.959962,analytics,GCP,us-central1,AS8075,down,down,149,1
2026-03-31 23:22:40.959962,orders,AWS,eastus,AS16509,down,down,389,1
2026-03-31 23:22:41.959962,media,Azure,us-west-2,AS15169,operational,down,265,1
2026-03-31 23:22:42.959962,media,GCP,us-central1,AS15169,down,down,108,1
2026-03-31 23:22:43.959962,orders,AWS,us-east-1,AS16509,down,stable,162,1
2026-03-31 23:22:44.959962,analytics,GCP,eastus,AS15169,degraded,unstable,222,0
2026-03-31 23:22:45.959962,payments,AWS,eastus,AS8075,down,stable,275,1
2026-03-31 23:22:46.959962,orders,AWS,us-west-2,AS16509,down,stable,56,1
2026-03-31 23:22:47.959962,media,Azure,us-central1,AS16509,degraded,stable,403,1
2026-03-31 23:22:48.959962,auth,AWS,eastus,AS8075,down,unstable,313,1
2026-03-31 23:22:49.959962,media,Azure,us-west-2,AS15169,down,down,400,1
2026-03-31 23:22:50.959962,orders,AWS,eastus,AS16509,degraded,unstable,64,0
2026-03-31 23:22:51.959962,payments,Azure,us-central1,AS15169,degraded,unstable,218,0
2026-03-31 23:22:52.959962,payments,AWS,us-west-2,AS15169,operational,stable,319,0
2026-03-31 23:22:53.959962,media,Azure,eastus,AS16509,operational,unstable,452,1
2026-03-31 23:22:54.959962,auth,GCP,us-east-1,AS8075,degraded,down,118,1
2026-03-31 23:22:55.959962,search,AWS,us-west-2,AS8075,degraded,unstable,304,0
2026-03-31 23:22:56.959962,orders,AWS,us-central1,AS15169,degraded,down,467,1
2026-03-31 23:22:57.959962,payments,AWS,us-central1,AS8075,down,stable,382,1
2026-03-31 23:22:58.959962,search,AWS,us-central1,AS8075,operational,stable,388,0
2026-03-31 23:22:59.959962,auth,AWS,us-west-2,AS8075,down,unstable,423,1
2026-03-31 23:23:00.959962,analytics,Azure,us-west-2,AS8075,degraded,stable,62,0
2026-03-31 23:23:01.959962,payments,GCP,us-central1,AS8075,degraded,stable,131,0
2026-03-31 23:23:02.959962,auth,Azure,us-central1,AS16509,down,stable,196,1
2026-03-31 23:23:03.959962,auth,GCP,us-east-1,AS16509,down,stable,300,1
2026-03-31 23:23:04.959962,auth,AWS,us-west-2,AS8075,operational,unstable,156,0
2026-03-31 23:23:05.959962,payments,GCP,us-east-1,AS8075,degraded,unstable,171,0
2026-03-31 23:23:06.959962,analytics,GCP,us-west-2,AS8075,operational,stable,77,0
2026-03-31 23:23:07.959962,search,Azure,us-east-1,AS8075,degraded,down,92,1
2026-03-31 23:23:08.959962,auth,Azure,eastus,AS15169,operational,unstable,493,1
2026-03-31 23:23:09.959962,analytics,GCP,us-central1,AS15169,down,down,147,1
2026-03-31 23:23:10.959962,payments,Azure,us-east-1,AS15169,down,unstable,278,1
2026-03-31 23:23:11.959962,analytics,Azure,us-west-2,AS8075,degraded,unstable,332,0
2026-03-31 23:23:12.959962,orders,AWS,eastus,AS8075,degraded,unstable,392,0
2026-03-31 23:23:13.959962,analytics,GCP,us-west-2,AS8075,operational,unstable,138,0
2026-03-31 23:23:14.959962,payments,GCP,us-west-2,AS15169,operational,down,167,1
2026-03-31 23:23:15.959962,search,Azure,us-west-2,AS15169,down,unstable,303,1
2026-03-31 23:23:16.959962,auth,GCP,eastus,AS15169,down,unstable,338,1
